caracNew,modalite,modaNiv1,modaNiv1_Color,modaNiv2_Color,modaNiv2,ModaNiv2remarques
École,École capitulaire,École capitulaire,#66c2a5,#66c2a5,École capitulaire,École capitulaire
École,Autre - École dépendante,École dépendante,#fc8d62,#fc8d62,École dépendante,École dépendante
École,École du monastère,École du monastère,#8da0cb,#8da0cb,École du monastère,École du monastère
Événements,Disparition - Changement de site,Disparition,#6B6B6B,#6B6B6B,Disparition,Disparition
Événements,Disparition - Destruction,Disparition,#6B6B6B,#6B6B6B,Disparition,Disparition
Événements,Disparition - Disparition (causes non précisées),Disparition,#6B6B6B,#6B6B6B,Disparition,Disparition
Événements,Disparition - Dissolution,Disparition,#6B6B6B,#6B6B6B,Disparition,Disparition
Événements,Fondation,Fondation,#2BE038,#2BE039,Fondation,Fondation
Événements,Refondation,Refondation,#105415,#105416,Fondation,Fondation
Événements,Réforme,Réforme,#151559,#151560,Réforme simple,Réforme simple (sans conséquence institutionnelle)
Événements,Réforme statutaire,Réforme statutaire,#671DA3,#671DA4,Réforme statutaire,Réforme statutaire
Événements,Régularisation,Régularisation,#2B9ACE,#2B9ACE,Régularisation,Régularisation
Événements,Sécularisation,Sécularisation,#2B4CCE,#2B4CCE,Sécularisation,Sécularisation
Événements,Sécularisation communautaire,Sécularisation communautaire,#122057,#122058,Sécularisation communautaire,Sécularisation communautaire
Observance,2e règle des Pères,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Codex regularum de Benoît d'Aniane,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Concordia regularum de Benoît d'Aniane,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Institutio canonicorum (816),Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle d'Aix (817),Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de Grandmont,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de l'ordre de Saint-Jean de Jérusalem,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de l'ordre du Temple,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de Macaire,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de saint Colomban,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle de Walbert,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle des quatre Pères,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle du Temple,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle mixte,Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Règle orientale (anonyme de Condat ?),Règles,#6B422F,#6B422F,Autre règle,Autre règle
Observance,Praeceptum d'Augustin,Règles,#6B422F,#6B422F,Praeceptum d'Augustin,Praeceptum d'Augustin
Observance,Règle de saint Benoît,Règles,#6B422F,#6B422F,Règle de saint Benoît,Règle de saint Benoît
Observance,Bernardi Consuetudines Cluniacenses,,#A500AD,#A500AD,,supprimer tous les Coutumiers
Observance,Consuetudines cartusiae,,#A500AD,#A500AD,,supprimer tous les Coutumiers
Observance,Consuetudines Cestrenses,,#A500AD,#A500AD,,supprimer tous les Coutumiers
Observance,Consuetudines Cluniacenses antiquiores A,,#A500AD,#A500AD,,supprimer tous les Coutumiers
Observance,Consuetudines Cluniacenses antiquiores B,,#A500AD,#A500AD,,supprimer tous les Coutumiers
Observance,Coutumier d'Ulrich,,#A500AD,#A500AD,,supprimer tous les Coutumiers
