caracNew,modalite,modaNiv1,modaNiv1_Color,modaNiv2_Color,modaNiv2,ModaNiv2remarques,rangInitial
École,École capitulaire,École capitulaire,#66c2a5,#66c2a5,École capitulaire,École capitulaire,1
École,Autre - École dépendante,École dépendante,#fc8d62,#fc8d62,École dépendante,École dépendante,2
École,École du monastère,École du monastère,#8da0cb,#8da0cb,École du monastère,École du monastère,3
Événements,Disparition - Changement de site,Disparition,#666666,#666666,Disparition,Disparition,4
Événements,Disparition - Destruction,Disparition,#666666,#666666,Disparition,Disparition,5
Événements,Disparition - Disparition (causes non précisées),Disparition,#666666,#666666,Disparition,Disparition,6
Événements,Disparition - Dissolution,Disparition,#666666,#666666,Disparition,Disparition,7
Événements,Fondation,Fondation,#1b9e77,#1b9e77,Fondation,Fondation,8
Événements,Refondation,Refondation,#66a61e,#66a61e,Fondation,Fondation,9
Événements,Réforme,Réforme,#e6ab02,#e6ab02,Réforme simple,Réforme simple (sans conséquence institutionnelle),10
Événements,Réforme statutaire,Réforme statutaire,#a6761d,#a6761d,Réforme statutaire,Réforme statutaire,11
Événements,Régularisation,Régularisation,#d95f02,#d95f02,Régularisation,Régularisation,12
Événements,Sécularisation,Sécularisation,#1f78b4,#1f78b4,Sécularisation,Sécularisation,13
Événements,Sécularisation communautaire,Sécularisation communautaire,#7570b3,#7570b3,Sécularisation communautaire,Sécularisation communautaire,14
Événements,2e règle des Pères,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,15
Événements,Codex regularum de Benoît d'Aniane,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,16
Événements,Concordia regularum de Benoît d'Aniane,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,17
Événements,Institutio canonicorum (816),Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,18
Événements,Règle d'Aix (817),Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,19
Événements,Règle de Grandmont,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,20
Événements,Règle de l'ordre de Saint-Jean de Jérusalem,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,21
Événements,Règle de l'ordre du Temple,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,22
Événements,Règle de Macaire,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,23
Événements,Règle de saint Colomban,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,24
Événements,Règle de Walbert,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,25
Événements,Règle des quatre Pères,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,26
Événements,Règle du Temple,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,27
Événements,Règle mixte,Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,28
Événements,Règle orientale (anonyme de Condat ?),Attestation Règle,#e7298a,#e7298a,Autre règle,ancien observance,29
Événements,Praeceptum d'Augustin,Attestation Règle,#e7298a,#e78ac3,Praeceptum d'Augustin,ancien observance,30
Événements,Règle de saint Benoît,Attestation Règle,#e7298a,#fb9a99,Règle de saint Benoît,ancien observance,31
Ordres,Hospitaliers et militaires - Antonins (Saint-Antoine en Viennois),Hospitaliers et militaires,#80b1d3,#80b1d3,Antonins,Antonins,42
Ordres,Monachisme érémitique - Autonome,Monachisme érémitique,#ffffb3,#ffffb3,Autre monachisme érémitique,Autre monachisme érémitique,43
Ordres,Monachisme érémitique - Chalais (Chalaisiens),Monachisme érémitique,#ffffb3,#ffffb3,Autre monachisme érémitique,Autre monachisme érémitique,44
Ordres,Monachisme érémitique - Val-des-Choux,Monachisme érémitique,#ffffb3,#ffffb3,Autre monachisme érémitique,Autre monachisme érémitique,45
Ordres,Bénédictins - Autonome,Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,46
Ordres,Bénédictins - Carmélites,Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,47
Ordres,Bénédictins - Fleury (Fleurisiens),Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,48
Ordres,Bénédictins - Fontevraud (Fontevristes),Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,49
Ordres,Bénédictins - Gorze,Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,50
Ordres,Bénédictins - La Chaise-Dieu,Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,51
Ordres,Bénédictins - Marmoutier,Bénédictins autres,#fdb462,#fdb462,Autres bénédictins,Autres bénédictins,52
