idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1,Saint-André de Mirebeau,Saint-André,46.7827080489752,0.182767144705167,precise,Poitiers,2,NA,NA,NA,NA,NA,NA
3,Nanteuil-en-Vallée,Notre-Dame et Saint-Benoît,46.0028570564249,0.322631816146895,precise,Poitiers,2,1165,1165,0,NA,NA,NA
4,Le Saint-Mont,Saint Pierre,48.0289769,6.6344185,precise,Toul,13,620,1790,1170,620,1790,1170
5,"Auxerre, Saint-Germain",Saint Germain,47.8003677,3.5732151,precise,Auxerre,45,433,2019,1586,418,1793,1375
7,Gandory (Cherves-Richemont),NA,45.7335904438626,-0.331458862243608,approximative,Saintes,1,NA,NA,NA,NA,NA,NA
8,Ronsenac,Saint-Jean-Baptiste,45.4761542681055,0.248790804893474,approximative,Périgueux,4,1075,1556,481,NA,NA,NA
11,"Paris, Sainte-Geneviève (1)",Saints-Apôtres ou Saint-Pierre puis Sainte-Geneviè,48.8463073,2.3476016,precise,Paris,15,506.5,1758,1251.5,502,1758,1256
12,"Paris, Sainte-Geneviève (2)",Sainte-Geneviève,48.8462219,2.3459145,precise,Paris,4,1758,1807,49,1758,1807,49
13,Saint-Jean l'Evangéliste de Mirebeau,NA,46.7854731042468,0.186010610481276,precise,Poitiers,1,NA,NA,NA,NA,NA,NA
15,Preuilly,Notre-Dame,48.4459817,3.1120463,precise,Meaux,9,1118,1800,682,1118,1800,682
16,Saint-Sulpice d'Abzac,Saint-Sulpice,46.1026011746232,0.703083643833224,precise,Angoulême,1,1134,1134,0,NA,NA,NA
17,"Valence, Saint-Ruf",Notre-Dame,44.9279688,4.8835214,precise,Valence,29,1108,1773,665,1158,1773,615
18,"Paris, Saint-Germain-des-Prés",Saint Germain,48.8539276,2.3345335,precise,Paris,12,558,1800,1242,558,1800,1242
19,"Die, Saint-Pierre",Saint Pierre,44.7558512,5.3671028,precise,Die,5,1073,1800,727,1073,1800,727
20,Bouxières-aux-dames,Sainte Marie,48.7558669,6.1643766,precise,Toul,6,938,1787,849,938,1787,849
21,Saint-Pierre-les-Dames (Remiremont),Saint Pierre,48.0156333,6.5911223,precise,Toul,8,817,1790,973,817,1790,973
22,Reigny 2,Notre-Dame,47.6461972,3.7282201,precise,Auxerre,11,300,1791,1491,200,1791,1591
23,Pontigny,Notre-Dame,47.9094745,3.7146848,precise,Auxerre,16,1114,1800,686,1114,1791,677
24,Clairvaux 1,Notre-Dame,48.1453729,4.7834801,precise,Langres,18,1115,1600,485,1115,1135,20
