idfactoid,idimplantation,usual_name,caracteristique,caracNew,modAgreg,modalite,fklinked_implantation,linked_implantation_name,date_start_min,date_start_max,date_stop_min,date_stop_max,lat,lng,location_granularity,Diocese,date_startC,date_stopC,DureeFact
3901,22,Reigny 2,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.6461972,3.7282201,precise,Auxerre,1202,1202,0
3902,23,Pontigny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.9094745,3.7146848,precise,Auxerre,1202,1202,0
3903,24,Clairvaux 1,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,48.1453729,4.7834801,precise,Langres,1202,1202,0
3904,25,Vauluisant,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,48.2651453,3.537056,precise,Sens,1202,1202,0
3905,26,Cîteaux (2),Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.1269626,5.0930385,precise,Chalon,1202,1202,0
3906,28,Saint-Savin-de-Lavedan,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Synode d'Aix-la-Chapelle,NA,NA,NA,NA,NA,NA,42.9814767,-0.0909642,precise,Tarbes,NA,NA,NA
3907,15,Preuilly,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,48.4459817,3.1120463,precise,Meaux,1202,1202,0
3908,39,Vernaison,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,45.0297001,5.0164397,precise,Valence,1202,1202,0
3909,135,Glandier,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines cartusiae,NA,NA,1080,1080,1080,1080,45.365104,1.4496096,precise,Limoges,1080,1080,0
3910,577,Tart (2),Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.3177108,5.0378636,precise,Langres,1202,1202,0
3911,693,Clairvaux 2,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,48.1465087,4.7869613,precise,Langres,1202,1202,0
3912,692,Bouras,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.2951198,3.2984078,precise,Auxerre,1202,1202,0
3913,493,Auberive,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.788751,5.0611717,precise,Langres,1202,1202,0
3914,578,Maizières,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,46.9485561,4.8858538,precise,Chalon,1202,1202,0
